date,title,comments,id,english_title,release_date,vote_average
2022-01-03,Os Smurfs 2,(início da temporada da Sessão da Tarde de Férias),77931,The Smurfs 2,2013-07-30,5.77
2022-01-12,A Ressurreição de Gavin Stone,,422114,The Resurrection of Gavin Stone,2017-01-20,6.0
2022-01-11,Quero Ficar com Polly,,5966,Along Came Polly,2004-01-16,5.981
2022-01-20,Patrick,,199578,Patrick,2013-10-15,5.0
2022-01-26,Uma Razão Para Recomeçar,(exceto para o RS - Vale a Pena Ver de Novo e transmissão do Campeonato Gaúcho: Juventude x Internacional),444951,New Life,2016-10-28,6.8
2022-01-10,Megamente,,38055,Megamind,2010-10-28,6.956
2022-01-06,Mamãe Saiu de Férias,,590529,Mom Went On Vacation,2019-09-13,6.5
2022-01-27,Um Presente Para Helen,,4599,Raising Helen,2004-05-27,6.12
2022-01-05,A Fabulosa Gilly Hopkins,,331588,The Great Gilly Hopkins,2015-10-05,6.6
2022-01-07,É Fada,,409317,It's a Fairy!,2016-10-06,5.7
2022-01-25,Falando Grego,(retorno à TV Globo; ex-Band),23049,My Life in Ruins,2009-06-05,6.116
2022-01-21,"Ela Disse, Ele Disse",(inédito em TV aberta),574547,"She Said, He Said",2019-10-10,7.2
2022-01-19,Decisões Extremas,,594089,Range Runners,2019-04-26,6.25
2022-01-04,Quando em Roma,,13477,When in Rome,2010-01-29,6.002
2022-01-28,Crô em Família,,544946,Crô em Família,2018-09-06,4.6
2022-02-07,Ratatouille,,2062,Ratatouille,2007-06-28,7.803
2022-01-24,Procurando Nemo,,12,Finding Nemo,2003-05-30,7.823
2022-02-10,Em Meus Sonhos,,752630,In My Dream,2020-10-22,3.0
2022-02-11,Lanterna Verde,,44912,Green Lantern,2011-06-16,5.166
2022-02-08,Simplesmente Complicado,,22897,It's Complicated,2009-12-23,6.51
2022-02-28,Garota Veneno,,11852,The Hot Chick,2002-12-13,6.35
2022-03-01,Nanny McPhee e as Lições Mágicas,,35019,Nanny McPhee and the Big Bang,2010-03-26,6.277
2022-02-23,Noites de Tormenta,,14326,Nights in Rodanthe,2008-09-26,6.257
2022-02-16,Pegando Fogo,(inédito em TV aberta / exceto para o RJ - RJ2 Especial: Chuvas em Petrópolis e a exibição mais tarde da Edição Especial de O Cravo e a Rosa),415886,Home Fires Burning,1989-01-29,6.2
2022-02-15,A Vingança das Damas de Honra,,62592,Revenge of the Bridesmaids,2010-07-18,6.6
2022-02-24,Paixão de Aluguel,,15648,The Perfect Man,2005-06-17,6.061
2022-02-25,O Sétimo Filho,,68737,Seventh Son,2014-12-12,5.493
2022-02-14,Como Treinar o Seu Dragão,,638507,How to Train Your Dragon: Homecoming,2019-10-25,8.08
2022-03-03,Meu Monstro de Estimação,,54318,The Water Horse,2007-12-25,6.451
2022-03-11,Coração de Tinta: O Livro Mágico,,2309,Inkheart,2008-12-11,6.282
2022-02-04,Pixels,,257344,Pixels,2015-07-16,5.715
2022-03-02,De Repente Pai,,146239,Delivery Man,2013-10-10,6.247
2022-03-18,Um Santo Vizinho,(inédito em TV aberta),239563,St. Vincent,2014-10-09,7.088
2022-03-04,O Amor Dá Trabalho,,615322,O Amor Dá Trabalho,2019-08-29,6.3
2022-03-29,Meu Namorado é o Bicho,,345937,Unleashed,2017-08-25,6.321
2022-03-17,Sob o Mesmo Céu,,1102070,Sob o Mesmo Céu,,0.0
2022-03-15,Uma Questão de Fé,(inédito em TV aberta),467433,A Question of Faith,2017-09-29,7.3
2022-04-04,Os Smurfs e a Vila Perdida,,137116,Smurfs: The Lost Village,2017-03-23,6.313
2022-03-21,Onde Nasce a Esperança,,243352,Where Hope Grows,2014-04-06,6.93
2022-03-31,Shrek Para Sempre,,10192,Shrek Forever After,2010-05-16,6.346
2022-04-01,Sim Senhor,(exibição às 15h50),10201,Yes Man,2008-12-09,6.657
2022-04-06,Vitórias de uma Vida,,254065,The Gabby Douglas Story,2014-02-01,7.4
2022-04-08,Tudo Por um Popstar,,551572,Anything for a Pop Star,2018-10-11,7.1
2022-01-14,Bilhete de Loteria,,1034337,The Lost Lotteries,2022-11-16,6.6
2022-04-21,As Branquelas,,12153,White Chicks,2004-06-23,6.913
2022-04-28,Um Amor à Altura,,366514,Up for Love,2016-05-04,6.015
2022-05-05,Licença Para Casar,,2959,License to Wed,2007-07-04,5.677
2022-03-30,A Culpa é das Estrelas,,222935,The Fault in Our Stars,2014-05-16,7.601
2022-04-22,A Volta do Todo Poderoso,(inédito na Globo; ex-RecordTV),2698,Evan Almighty,2007-06-09,5.547
2022-04-19,À Procura do Amor,,88005,Seeking a Friend for the End of the World,2012-06-22,6.5
2022-05-06,A Luta Por um Ideal,,82631,Won't Back Down,2012-09-28,6.1
2022-04-18,,,,,,
2022-04-27,A Morte e Vida de Charlie,,37950,Charlie St. Cloud,2010-07-30,6.941
2022-04-25,Cegonhas: A História Que Não Te Contaram,(exceto para o ES - Vale a Pena Ver de Novo: O Clone),332210,Storks,2016-09-22,6.637
2022-03-14,Encantada,,204678,Enchanted Isles,1965-03-15,6.7
2022-03-16,Click,(reclassificado para 12 anos),9339,Click,2006-06-23,6.268
2022-05-09,Um Bom Partido,,77875,Playing for Keeps,2012-11-29,5.632
2022-05-10,O Que Te Faz Mais Forte,,395993,Stronger,2017-09-22,6.993
