date,title,comments,id,english_title,release_date,vote_average
2023-01-18,Os Parças 2,,623780,Os Parças 2,2019-11-14,7.1
2023-01-16,Shrek Terceiro,,810,Shrek the Third,2007-05-17,6.286
2023-01-13,Portal dos Guerreiros,,413658,The Warriors Gate,2016-11-18,6.6
2023-03-09,O Maior Amor do Mundo,,258315,The Greatest Love of All,2006-09-07,5.6
2023-02-02,Arthur: O Milionário Irresistível,2011,49012,Arthur,2011-04-08,5.601
2023-01-31,Duelo de Cordas,também conhecido como High Strung: Ao Ritmo do Sonho,382399,High Strung,2016-04-08,7.058
2023-02-20,Os Incríveis,exibição após Glô na Rua / exceto para Bahia e Minas Gerais,668508,Os Incríveis Neste Mundo Louco,1967-06-26,0.0
2023-02-24,Eu Sou o Número Quatro,,46529,I Am Number Four,2011-02-18,6.2
2023-02-23,As Branquelas,exceto para MG - Vale a Pena Ver de Novo: O Rei do Gado + Campeonato Mineiro: Caldense x Cruzeiro,12153,White Chicks,2004-06-23,6.914
2023-02-01,Um Faz de Conta Que Acontece,,10202,Bedtime Stories,2008-12-24,6.131
2023-01-17,Miss Simpatia,,1493,Miss Congeniality,2000-12-22,6.5
2023-03-13,A Extraordinária Jornada de Fakir,reprogramado,407447,The Extraordinary Journey of the Fakir,2018-05-09,6.958
2023-03-10,A Bússola de Ouro,,2268,The Golden Compass,2007-12-04,6.041
2023-02-21,Até que a Sorte nos Separe,"exceto para São Paulo, Bahia e Minas Gerais",154441,Till Luck Do Us Part,2012-10-05,6.4
2023-02-03,,,,,,
2023-03-28,Chocante,,458905,Chocante,2017-10-05,5.096
2023-03-27,Por Aqui e Por Ali,inédito em TV aberta,232572,A Walk in the Woods,2015-09-02,6.053
2023-03-29,A Minha Garota Para Sempre,,417261,Forever My Girl,2018-01-26,7.597
2023-03-14,Uma Amizade Inesperada,,568994,Driveways,2020-12-17,6.977
2023-03-30,Motoqueiros Selvagens,,42533,Angels Die Hard,1970-07-08,5.0
2023-04-13,Diário de uma Paixão,,11036,The Notebook,2004-06-25,7.88
2023-04-28,A Sogra,,713801,A Sogra,1954-06-08,0.0
2023-04-12,Jogada Certa,,38093,Just Wright,2010-05-14,6.392
2023-04-17,A Creche do Papai,exceto para o Espírito Santo - O Rei do Gado + Missa de Encerramento - Festa da Penha,577647,Grand-Daddy Day Care,2019-01-05,6.3
2023-05-01,O Touro Ferdinando,,47166,Ferdinand the Bull,1938-11-23,6.565
2023-05-03,,inédito em TV aberta,,,,
