data,title,comments,year
03/01,Os Smurfs 2 ,(início da temporada da Sessão da Tarde de Férias),2022
04/01,Quando em Roma,,2022
05/01,A Fabulosa Gilly Hopkins,,2022
06/01,Mamãe Saiu de Férias,,2022
07/01,É Fada,,2022
10/01,Megamente,,2022
11/01,Quero Ficar com Polly,,2022
12/01,A Ressurreição de Gavin Stone,,2022
13/01,O Medalhão,,2022
14/01,Bilhete de Loteria,,2022
17/01,Kung Fu Panda 2,,2022
18/01,Gente Grande,,2022
19/01,Decisões Extremas,,2022
20/01,Patrick,,2022
21/01,"Ela Disse, Ele Disse (2019) ",(inédito em TV aberta),2022
24/01,Procurando Nemo,,2022
25/01,Falando Grego ,(retorno à TV Globo; ex-Band),2022
26/01,Uma Razão Para Recomeçar ,(exceto para o RS - Vale a Pena Ver de Novo e transmissão do Campeonato Gaúcho: Juventude x Internacional),2022
27/01,Um Presente Para Helen,,2022
28/01,Crô em Família,,2022
31/01,Os Incríveis ,(término da temporada da Sessão da Tarde de Férias),2022
01/02,Questão de Tempo,,2022
02/02,Sob o Sol da Toscana ,(exceto para o RS - Vale a Pena Ver de Novo e transmissão do Campeonato Gaúcho: Grêmio x São José),2022
03/02,Hitch: Conselheiro Amoroso,,2022
04/02,Pixels,,2022
07/02,Ratatouille,,2022
08/02,Simplesmente Complicado,,2022
09/02,Não Houve Exibição - Supercopa do Brasil de Futebol Feminino: Flamengo x Grêmio,,2022
10/02,Em Meus Sonhos,,2022
11/02,Lanterna Verde,,2022
14/02,Como Treinar o Seu Dragão,,2022
15/02,A Vingança das Damas de Honra,,2022
16/02,Pegando Fogo ,(inédito em TV aberta / exceto para o RJ - RJ2 Especial: Chuvas em Petrópolis e a exibição mais tarde da Edição Especial de O Cravo e a Rosa),2022
17/02,O Terno de 2 Bilhões de Dólares,,2022
18/02,Uma Aventura e Tanto,,2022
21/02,Quatro Vidas de um Cachorro,,2022
22/02,O Bom Filho à Casa Torna,,2022
23/02,Noites de Tormenta,,2022
24/02,Paixão de Aluguel,,2022
25/02,O Sétimo Filho,,2022
28/02,Garota Veneno,,2022
01/03,Nanny McPhee e as Lições Mágicas,,2022
02/03,De Repente Pai,,2022
03/03,Meu Monstro de Estimação,,2022
04/03,O Amor Dá Trabalho,,2022
07/03,O Melhor Amigo da Noiva,,2022
08/03,Uma Razão Para Vencer,,2022
09/03,O Amor Não Tira Férias,,2022
10/03,Que Haja Luz (A Luz Divina),(inédito em TV aberta),2022
11/03,Coração de Tinta: O Livro Mágico,,2022
14/03,Encantada,,2022
15/03,Uma Questão de Fé ,(inédito em TV aberta),2022
16/03,Click ,(reclassificado para 12 anos),2022
17/03,Sob o Mesmo Céu,,2022
18/03,Um Santo Vizinho ,(inédito em TV aberta),2022
21/03,Onde Nasce a Esperança,,2022
22/03,Plano B (2010),,2022
23/03,Uma Amizade Inesperada ,(exceto para MG - Vale a Pena Ver de Novo e transmissão do Campeonato Mineiro: Caldense x Atlético-MG),2022
24/03,Juntos pelo Acaso,,2022
25/03,As Loucuras de Dick e Jane (2005),,2022
28/03,Sem Palavras (2018) ,(inédito em TV aberta),2022
29/03,Meu Namorado é o Bicho,,2022
30/03,A Culpa é das Estrelas,,2022
31/03,Shrek Para Sempre,,2022
01/04,Sim Senhor ,(exibição às 15h50),2022
04/04,Os Smurfs e a Vila Perdida,,2022
05/04,Um Perfil Para Dois ,(inédito em TV aberta),2022
06/04,Vitórias de uma Vida,,2022
07/04,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Espanha,,2022
08/04,Tudo Por um Popstar,,2022
11/04,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Hungria,,2022
12/04,Sonhos de Papel ,(reclassificado para 10 anos),2022
13/04,Como Se Fosse a Primeira Vez,,2022
14/04,A Hora do Rush 2,,2022
15/04,Hop: Rebelde Sem Páscoa,,2022
18/04,Pépequeno,,2022
19/04,À Procura do Amor,,2022
20/04,D.P.A.: Detetives do Prédio Azul 2 - O Mistério Italiano ,(Inédito em TV aberta),2022
21/04,As Branquelas,,2022
22/04,A Volta do Todo Poderoso ,(inédito na Globo; ex-RecordTV),2022
25/04,Cegonhas: A História Que Não Te Contaram ,(exceto para o ES - Vale a Pena Ver de Novo: O Clone),2022
26/04,Não Houve Exibição - Carnaval Globeleza: Apuração dos Desfiles das Escolas de Samba,,2022
27/04,A Morte e Vida de Charlie,,2022
28/04,Um Amor à Altura,,2022
29/04,"Meu Amigo, O Dragão (2016)",,2022
02/05,Os Pinguins de Madagascar (2014),,2022
03/05,De Repente 30,,2022
04/05,Mãos Talentosas: A História de Ben Carson,,2022
05/05,Licença Para Casar,,2022
06/05,A Luta Por um Ideal (2012),,2022
09/05,Um Bom Partido,,2022
10/05,O Que Te Faz Mais Forte,,2022
11/05,Meninas Malvadas,,2022
12/05,Cartas Para Deus,,2022
13/05,Maluca Paixão,,2022
16/05,Meu Malvado Favorito ,(inédito na TV Globo; ex-RecordTV),2022
17/05,Casamento Grego 2,,2022
18/05,Megan Leavey,,2022
19/05,Um Tio Quase Perfeito 2 ,(inédito em TV aberta),2022
20/05,Incontrolável,,2022
23/05,Coincidências do Amor,,2022
24/05,Incondicional,,2022
25/05,Portal dos Guerreiros,,2022
26/05,Idas e Vindas do Amor,,2022
27/05,Agente 86 (2008),,2022
30/05,Eu Sou o Número Quatro,,2022
31/05,Juntos A Magia Acontece ,"(reprise do Especial de Natal de 2019 em homenagem póstuma ao ator Milton Gonçalves, falecido no dia anterior)",2022
01/06,Tudo e Todas as Coisas,,2022
02/06,Recém-Casados,,2022
03/06,O Grande Milagre,,2022
06/06,Um Faz de Conta Que Acontece,,2022
07/06,O Que de Verdade Importa,,2022
08/06,A Última Palavra,,2022
09/06,A Hora do Rush 3,,2022
10/06,Talvez uma História de Amor ,(Inédito em TV aberta),2022
13/06,Jenny Vai Casar,,2022
14/06,Uma Prova de Amor,,2022
15/06,A Seleção (2013),,2022
16/06,Bater Ou Correr Em Londres,,2022
17/06,Os Parças 2,,2022
20/06,Esposa de Mentirinha,,2022
21/06,O Livro do Amor,,2022
22/06,Viva: A Vida é Uma Festa,,2022
23/06,O Auto da Compadecida ,(reclassificado para 12 anos),2022
24/06,A Bússola de Ouro ,"(exibição às 16h, após Amistoso da Seleção Feminina: Brasil x Dinamarca)",2022
27/06,Divórcio,,2022
28/06,"Eu, Robô ","(exibição às 15h30, após Amistoso da Seleção Feminina: Brasil x Suécia)",2022
29/06,Minions ,(inédito na TV Globo; ex-RecordTV),2022
30/06,Bem-Vindo à Vida,,2022
01/07,Uma Família em Apuros,,2022
04/07,A Pantera Cor-de-Rosa 2,,2022
05/07,Turma da Mónica: Laços,,2022
06/07,Nossa Vida com Cães,,2022
07/07,Os Estagiários,,2022
08/07,Kung Fu Panda 3,,2022
11/07,Procurando Nemo,,2022
12/07,Um Presente Para Helen,,2022
13/07,Férias da Família Johnson,,2022
14/07,Mamãe Saiu de Férias,,2022
15/07,Megamente,,2022
18/07,Miss Simpatia 2: Armada e Poderosa ,(início da temporada da Sessão da Tarde de Férias),2022
19/07,O Pequeno Príncipe (2015),,2022
20/07,A Fabulosa Gilly Hopkins,,2022
21/07,A Nova Cinderela,,2022
22/07,Rio 2 ,(término da temporada da Sessão da Tarde de Férias),2022
25/07,Sem Reservas,,2022
26/07,Christopher Robin: Um Reencontro Inesquecível ,(inédito em TV aberta),2022
27/07,As Férias da Minha Vida,,2022
28/07,"Nossa União, Muita Confusão",,2022
29/07,Shrek 2 ,"(exibição às 16h, após Espiadinha Globoplay)",2022
01/08,Pixels,,2022
02/08,A Última Música,,2022
03/08,Paixão de Aluguel,,2022
04/08,Pegando Fogo,,2022
05/08,Uma Dobra no Tempo,,2022
08/08,Meu Malvado Favorito 2 ,(inédito na TV Globo; ex-RecordTV),2022
09/08,Sob o Sol de Toscana,,2022
10/08,A Sogra,,2022
11/08,Questão de Tempo,,2022
12/08,"Meu Pai, Meu Herói",,2022
15/08,O Sétimo Filho,,2022
16/08,Quase Lendas ,(inédito em TV Aberta),2022
17/08,Ratatouille,,2022
18/08,A Vingança das Damas de Honra,,2022
19/08,Simplesmente Complicado,,2022
22/08,Malasartes e o Duelo com a Morte,,2022
23/08,A Minha Garota Para Sempre ,(inédito em TV Aberta),2022
24/08,Insubstituível,,2022
25/08,Os Incríveis,,2022
26/08,"Fala Sério, Mãe!",,2022
29/08,Acampamento do Papai,,2022
30/08,Uma Razão Para Recomeçar,,2022
31/08,Muito Bem Acompanhada,,2022
01/09,O Medalhão,,2022
02/09,É Fada ,(reclassificado para 12 anos),2022
05/09,Trolls,,2022
06/09,Ensinando a Viver,,2022
07/09,R.I.P.D: Agentes do Além,,2022
08/09,"Ela Disse, Ele Disse (2019) ",(exibição às 16h),2022
09/09,Viagem Ao Centro Da Terra: O Filme,,2022
12/09,Gente Grande,,2022
13/09,Madagascar 3: Os Procurados,,2022
14/09,O Que Esperar Quando Você Está Esperando,,2022
15/09,Tudo Que Quero,,2022
16/09,Sai de Baixo: O Filme,,2022
19/09,O Bicho Vai Pegar 4,,2022
20/09,As Mil Palavras,,2022
21/09,O Falcão Manteiga de Amendoim,,2022
22/09,Linda de Morrer,,2022
23/09,Não Houve Exibição - Amistoso da Seleção: Brasil x Gana,,2022
26/09,Falando Grego,,2022
27/09,Não Houve Exibição - Amistoso da Seleção: Brasil x Tunísia,,2022
28/09,Quando em Roma,,2022
29/09,Crô em Família,,2022
30/09,Click ,(término da exibição após O Cravo e a Rosa),2022
03/10,O Diabo Veste Prada ,(início da exibição após Chocolate com Pimenta),2022
04/10,Quatro Vidas de um Cachorro,,2022
05/10,Sim Senhor,,2022
06/10,Onde Nasce a Esperança,,2022
07/10,A Hora do Rush 2,,2022
10/10,Nanny McPhee e as Lições Mágicas,,2022
11/10,Max: O Cão Herói ,(inédito em TV aberta),2022
12/10,Os Smurfs (2011),,2022
13/10,Uma Amizade Inesperada,,2022
14/10,Bilhete de Loteria,,2022
17/10,A Volta do Todo Poderoso,,2022
18/10,Um Amor à Altura,,2022
19/10,De Repente Pai,,2022
20/10,Uma Aventura e Tanto,,2022
21/10,Como Se Fosse a Primeira Vez,,2022
24/10,Os Delírios de Consumo de Becky Bloom,,2022
25/10,Que Haja Luz,,2022
26/10,O Melhor Amigo da Noiva,,2022
27/10,A Morte e Vida de Charlie,,2022
28/10,Shrek ,(retorno à TV Globo; ex-Band e SBT),2022
31/10,Uma Noite no Museu,,2022
01/11,O Sol Também é uma Estrela ,(inédito em TV aberta),2022
02/11,Kung Fu Panda 2,,2022
03/11,Snowden: Herói ou Traidor,,2022
04/11,O Bom Filho à Casa Torna,,2022
07/11,Jornada da Vida ,(inédito em TV aberta),2022
08/11,De Repente 30,,2022
09/11,Uma Questão de Fé,,2022
10/11,Depois da Terra,,2022
11/11,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Canadá,,2022
14/11,Bem-Vindo Doutor ,(inédito em TV aberta),2022
15/11,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Canadá,,2022
16/11,A Luta Por um Ideal (2012),,2022
17/11,Encantada,,2022
18/11,Correndo Atrás (2018) ,(inédito em TV aberta / pausa temporária da sessão),2022
21/11,Não Houve Exibição - Copa do Mundo 2022,,2022
22/11,Não Houve Exibição - Copa do Mundo 2022,,2022
23/11,Não Houve Exibição - Copa do Mundo 2022,,2022
24/11,Não Houve Exibição - Copa do Mundo 2022,,2022
25/11,Não Houve Exibição - Copa do Mundo 2022,,2022
28/11,Não Houve Exibição - Copa do Mundo 2022,,2022
29/11,Não Houve Exibição - Copa do Mundo 2022,,2022
30/11,Não Houve Exibição - Copa do Mundo 2022,,2022
01/12,Não Houve Exibição - Copa do Mundo 2022,,2022
02/12,Não Houve Exibição - Copa do Mundo 2022,,2022
05/12,Não Houve Exibição - Copa do Mundo 2022,,2022
06/12,Não Houve Exibição - Copa do Mundo 2022,,2022
07/12,Patrick,,2022
08/12,Um Santo Vizinho,,2022
09/12,Não Houve Exibição - Copa do Mundo 2022,,2022
12/12,Megan Leavey ,(exibição às 16h),2022
13/12,Não Houve Exibição - Copa do Mundo 2022,,2022
14/12,Não Houve Exibição - Copa do Mundo 2022,,2022
15/12,Need For Speed: O Filme ,(retorno da exibição regular / término da pausa temporária),2022
16/12,O Futebol Ou Eu ,(inédito em TV aberta),2022
19/12,A Era do Gelo: O Big Bang,,2022
20/12,Tudo em Família,,2022
21/12,O Bom Doutor  (2019) ,(inédito em TV aberta / exceto para SP - Campeonato Paulista de Futebol Feminino: Palmeiras x Santos),2022
22/12,Surpresas do Amor,,2022
