date,title,comments
2023-01-02,Não Houve Exibição ,"velório de Pelé, intitulada Rei Pelé: Cobertura"
2023-01-03,A Nova Cinderela ,exibição às 15h55
2023-01-04,Agente 86 ,2008
2023-01-05,Os Smurfs 2,
2023-01-06,Divórcio,
2023-01-09,Paddington 2 ,inédito em TV aberta
2023-01-10,Férias da Família Johnson,
2023-01-11,Jenny Vai Casar,
2023-01-12,Tudo Por um Popstar,
2023-01-13,Portal dos Guerreiros,
2023-01-16,Shrek Terceiro,
2023-01-17,Miss Simpatia,
2023-01-18,Os Parças 2,
2023-01-19,A Fabulosa Gilly Hopkins,
2023-01-20,O Menino Que Queria Ser Rei ,inédito em TV aberta / exceto para as afiliadas do Nordeste - Verão Nordeste
2023-01-23,A Pantera Cor de Rosa 2,
2023-01-24,Uma Razão Para Vencer,
2023-01-25,Coração de Dragão 3: A Maldição do Feiticeiro ,inédito na TV Globo; ex-RecordTV /  exceto para SP e MG com final da Copa São Paulo de Futebol Juniores: Palmeiras x América-MG
2023-01-26,Licença Para Casar,
2023-01-27,Ratatouille,
2023-01-30,Cegonhas: A História Que Não Te Contaram,
2023-01-31,Duelo de Cordas  ,também conhecido como High Strung: Ao Ritmo do Sonho
2023-02-01,Um Faz de Conta Que Acontece,
2023-02-02,Arthur: O Milionário Irresistível  ,2011
2023-02-03,"Sessão da Tarde Especial - Homenagem Póstuma a Gloria Maria, com reexibição de reportagens do Globo Repórter",
2023-02-06,Mentes Sombrias,
2023-02-07,Não Houve Exibição - Mundial de Clubes: Flamengo x Al Hilal,
2023-02-08,A Seleção ,2013
2023-02-09,Não Houve Exibição - Supercopa Feminina de Futebol,
2023-02-10,Círculo de Fogo ,2013
2023-02-13,O Livro do Amor,
2023-02-14,Os Guardiões,
2023-02-15,A Ressurreição de Gavin Stone,
2023-02-16,A Era do Gelo ,"inédito na Globo; ex-RecordTV / exceto para a Bahia / exibição mais tarde, às 16h25, após especial Pipoca da Ivete"
2023-02-17,Maluca Paixão ,exceto para a Bahia
2023-02-20,Os Incríveis ,exibição após Glô na Rua / exceto para Bahia e Minas Gerais
2023-02-21, Até que a Sorte nos Separe ,"exceto para São Paulo, Bahia e Minas Gerais"
2023-02-22,Não Houve Exibição - Vale a Pena Ver de Novo: O Rei do Gado + Apuração do Carnaval RJ ,rede
2023-02-23,As Branquelas ,exceto para MG - Vale a Pena Ver de Novo: O Rei do Gado + Campeonato Mineiro: Caldense x Cruzeiro
2023-02-24,Eu Sou o Número Quatro,
2023-02-27,Christopher Robin: Um Reencontro Inesquecível,
2023-02-28,Um Amor de Tesouro ,exceto para PE - Vale a Pena Ver de Novo: O Rei do Gado + Campeonato Pernambucano: Salgueiro x Porto
2023-03-01,Pulando a Vassoura,
2023-03-02,À Procura da Felicidade,
2023-03-03,Gigantes de Aço,
2023-03-06,Uma Prova de Amor,
2023-03-07,Miss Simpatia 2: Armada e Poderosa,
2023-03-08,Mulheres ao Poder,
2023-03-09,O Maior Amor do Mundo,
2023-03-10,A Bússola de Ouro,
2023-03-13,A Extraordinária Jornada de Fakir  ,reprogramado
2023-03-14,Uma Amizade Inesperada,
2023-03-15,Maria do Caritó,
2023-03-16,Uma Razão Para Recomeçar,
2023-03-17,Incontrolável,
2023-03-20,R.I.P.D.: Agentes do Além,
2023-03-21,Sempre ao Seu Lado,
2023-03-22,Coincidências do Amor,
2023-03-23,Com Deus no Caminho  ,reprogramado
2023-03-24,Roubo nas Alturas,
2023-03-27,Por Aqui e Por Ali ,inédito em TV aberta
2023-03-28,Chocante,
2023-03-29,A Minha Garota Para Sempre,
2023-03-30,Motoqueiros Selvagens,
2023-03-31,Pegando Fogo,
2023-04-03,Somos Marshall,
2023-04-04, Jogador N° 1 ,exceto para Pernambuco - Campeonato Pernambucano
2023-04-05,Malasartes e o Duelo com a Morte,
2023-04-06,O Túnel ,2019
2023-04-07,Pedro Coelho ,exceto para Pernambuco - Campeonato Pernambucano
2023-04-10,Invictus,
2023-04-11,Sai de Baixo: O Filme ,excepcionalmente às 16h05
2023-04-12,Jogada Certa,
2023-04-13,Diário de uma Paixão,
2023-04-14,Animais Fantásticos: Os Crimes de Grindelwald,
2023-04-17,A Creche do Papai ,exceto para o Espírito Santo - O Rei do Gado + Missa de Encerramento - Festa da Penha
2023-04-18,Joel ,Inédito em TV aberta
2023-04-19,Recém-Casados,
2023-04-20,Um Homem de Sorte,
2023-04-21,Meu Malvado Favorito,
2023-04-24,Mulheres ao Ataque,
2023-04-25,Um Laço de Amor ,Inédito em TV aberta
2023-04-26,Talvez uma História de Amor,
2023-04-27,Os Delírios de Consumo de Becky Bloom,
2023-04-28,A Sogra,
2023-05-01,O Touro Ferdinando,
2023-05-02,A Culpa é das Estrelas,
2023-05-03,Uma Chance Para Lutar ,inédito em TV aberta
2023-05-04,Cavalo de Guerra,
2023-05-05,De Repente Uma Família,
2023-05-08,O Círculo,
2023-05-09,De Repente Pai,
2023-05-10,Desculpe o Transtorno ,inédito em TV aberta
2023-05-11,Minha Amiga Palma ,inédito em TV aberta
2023-05-12,O Que de Verdade Importa,
2023-05-15,Minha Mãe é Uma Peça: O Filme,
2023-05-16,Ensinando a Viver,
2023-05-17, Sem Palavras ,2018
2023-05-18,Vestida Para Casar,
